Frame	2_bonds	no_bonds	303_350
464	2.029533	4.145913	2.048133
465	2.029474	4.983395	2.000229
466	2.022434	3.924106	2.055701
467	2.069609	5.392125	2.128189
468	2.090307	4.348821	2.019201
469	2.042101	4.629024	2.021955
470	2.047534	3.723169	1.983283
471	2.044755	4.958069	1.994991
472	2.036799	4.937854	2.010721
473	2.063873	3.965514	2.005571
474	2.024640	4.944212	1.965828
475	2.038702	4.515260	2.021042
476	2.096469	4.642218	2.101550
477	2.014402	3.662494	2.031027
478	2.048343	4.024846	2.018718
479	2.043421	3.712314	2.027790
480	2.034192	3.705800	2.077686
481	2.094595	4.085598	2.019159
482	2.057271	4.283245	1.988732
483	1.985682	4.155629	1.988124
484	2.036676	5.009812	2.030850
485	2.001010	4.907930	1.990896
486	2.038798	4.724943	2.027208
487	1.988955	4.047472	1.967914
488	1.976983	5.696487	2.037241
489	2.062670	3.690050	1.995625
490	2.085850	5.258543	1.942402
491	2.023819	4.894071	1.998108
492	2.011127	4.780051	2.039964
493	1.948244	5.589232	2.067766
494	2.030603	3.650759	2.006830
495	2.011043	4.419144	2.030277
496	2.010560	4.083151	1.984853
497	2.051509	5.585112	2.072821
498	2.000196	3.497523	1.947237
499	2.040950	3.425911	2.033861
