TS Eel(kcal/mol)
43400000 -1235995.6262
43450000 -1236925.3572
43500000 -1236569.2741
43550000 -1235924.9318
43600000 -1238906.2047
43650000 -1236878.6162
43700000 -1236068.2906
43750000 -1236925.3424
43800000 -1236496.6032
43850000 -1238123.2438
43900000 -1237186.2907
43950000 -1236203.6331
44000000 -1238141.5176
44050000 -1235756.1398
44100000 -1236731.3843
44150000 -1237387.7600
44200000 -1236045.2654
44250000 -1236384.1152
44300000 -1236620.5182
44350000 -1237561.3449
44400000 -1237068.8093
44450000 -1236182.5922
44500000 -1235885.2299
44550000 -1236002.5245
44600000 -1236248.1143
44650000 -1237378.1849
44700000 -1237368.6237
44750000 -1238550.9891
44800000 -1237084.7164
44850000 -1237142.7321
44900000 -1237419.4482
44950000 -1237887.9202
45000000 -1236346.5747
45050000 -1236833.5140
45100000 -1236637.6118
45150000 -1237838.9045
45200000 -1238177.4689
45250000 -1237965.4548
45300000 -1236723.7014
45350000 -1237483.6013
45400000 -1236852.8715
45450000 -1236022.0668
45500000 -1235715.0370
45550000 -1237497.8717
45600000 -1235603.2098
45650000 -1236627.2019
45700000 -1236112.4859
45750000 -1237530.3923
45800000 -1236994.9293
45850000 -1236015.5314
45900000 -1236761.9859
45950000 -1237060.6318
46000000 -1237004.3970
46050000 -1236427.9474
46100000 -1235775.7554
46150000 -1236587.8216
46200000 -1237195.7821
46250000 -1236934.7094
46300000 -1237415.7113
46350000 -1237318.4759
46400000 -1237063.1839
46450000 -1238564.1625
46500000 -1236491.1752
46550000 -1237714.2694
46600000 -1236223.1913
46650000 -1237571.9297
46700000 -1236036.1158
46750000 -1237991.3149
46800000 -1236866.2302
46850000 -1236855.3132
46900000 -1236019.2517
46950000 -1235876.0106
47000000 -1236510.7176
47050000 -1236623.5115
47100000 -1239452.2009
47150000 -1237179.7976
47200000 -1237301.5339
47250000 -1236212.4163
47300000 -1236950.0381
47350000 -1237875.3368
47400000 -1236544.7920
47450000 -1237576.2630
47500000 -1237532.2429
47550000 -1236867.7846
47600000 -1237966.9302
47650000 -1236287.8916
47700000 -1236601.3472
47750000 -1236161.3471
47800000 -1236456.8196
47850000 -1236572.6251
47900000 -1236607.2331
47950000 -1237633.8936
48000000 -1235902.9690
48050000 -1235725.9229
48100000 -1236686.0191
48150000 -1237538.6414
48200000 -1236481.3290
48250000 -1237759.3542
48300000 -1237036.1187
48350000 -1236223.1354
48400000 -1238479.3020
48450000 -1236664.6974
48500000 -1236900.9158
48550000 -1236183.4075
48600000 -1236608.0367
48650000 -1236732.5433
48700000 -1237976.5744
48750000 -1238149.3065
48800000 -1236154.9062
48850000 -1236845.0501
48900000 -1236139.5840
48950000 -1238473.8089
49000000 -1236978.2862
49050000 -1235984.0030
49100000 -1237453.7875
49150000 -1236554.3353
49200000 -1237466.1163
49250000 -1236063.5412
49300000 -1235952.6220
49350000 -1238757.9509
49400000 -1237282.8878
49450000 -1236564.5038
49500000 -1236351.2491
49550000 -1237212.3931
49600000 -1236715.9365
49650000 -1236751.1517
49700000 -1237648.6411
49750000 -1236334.8127
49800000 -1236741.2278
49850000 -1236885.3164
49900000 -1236005.9852
49950000 -1236716.9244
50000000 -1235165.1771
