TS Eel(kcal/mol)
15950000 -1347367.3061
16000000 -1347375.0989
16050000 -1348322.6510
16100000 -1347835.1678
16150000 -1346910.2680
16200000 -1346763.0832
16250000 -1346957.3555
16300000 -1345828.4712
16350000 -1347189.4705
16400000 -1347373.3763
16450000 -1346790.1099
16500000 -1346550.5615
16550000 -1347319.8685
16600000 -1346411.0912
16650000 -1348117.9386
16700000 -1348130.6199
16750000 -1347872.5433
16800000 -1347242.7189
16850000 -1347545.6553
16900000 -1346094.1257
16950000 -1347975.7088
17000000 -1348229.5470
17050000 -1346816.6517
17100000 -1347806.0920
17150000 -1347193.7094
17200000 -1347320.3226
17250000 -1348079.1875
17300000 -1348332.0283
17350000 -1348061.9262
17400000 -1347209.0318
17450000 -1346917.9413
17500000 -1347602.2803
17550000 -1348287.7783
17600000 -1347325.0767
17650000 -1347568.9627
17700000 -1347166.8899
17750000 -1347101.0451
17800000 -1346545.0870
17850000 -1347388.7021
17900000 -1346838.5920
17950000 -1348189.7231
18000000 -1348933.3648
18050000 -1347422.8076
18100000 -1347826.6551
18150000 -1347661.0677
18200000 -1346563.8877
18250000 -1347282.4192
18300000 -1346124.0646
18350000 -1347809.1764
18400000 -1348406.2181
18450000 -1347434.2281
18500000 -1347664.6382
18550000 -1347903.6465
18600000 -1346999.5685
18650000 -1347829.5377
18700000 -1346085.0104
18750000 -1347856.7441
18800000 -1346067.0591
18850000 -1347558.2558
18900000 -1347713.4184
18950000 -1347599.9506
19000000 -1347268.5459
19050000 -1346965.0205
19100000 -1348161.2034
19150000 -1348820.3650
19200000 -1347495.0418
19250000 -1347868.0436
19300000 -1346647.2198
19350000 -1345439.1984
19400000 -1347723.2360
19450000 -1348045.7080
19500000 -1347353.1524
19550000 -1347988.5981
19600000 -1346272.3711
19650000 -1347668.8628
19700000 -1348600.3248
19750000 -1347394.8574
19800000 -1346312.5282
19850000 -1348176.1575
19900000 -1345983.4448
19950000 -1347161.1083
20000000 -1347740.7318
20050000 -1349484.4329
20100000 -1347853.4852
20150000 -1346139.2970
20200000 -1347494.1669
20250000 -1348483.3027
20300000 -1346724.7669
20350000 -1347623.3767
20400000 -1346445.4711
20450000 -1348107.9700
20500000 -1347571.2018
20550000 -1347035.3469
20600000 -1346588.9344
20650000 -1347994.7574
20700000 -1347149.1332
20750000 -1347905.5426
20800000 -1347560.4586
20850000 -1345944.9292
20900000 -1347577.2322
20950000 -1347433.1081
21000000 -1347548.9901
21050000 -1348089.9922
21100000 -1346756.1236
21150000 -1345913.2342
21200000 -1349108.1598
21250000 -1347722.7032
21300000 -1347715.0167
21350000 -1348231.8502
21400000 -1347189.3096
21450000 -1347156.8583
21500000 -1348801.2161
21550000 -1347852.8502
21600000 -1347866.2902
21650000 -1347828.0013
21700000 -1346247.2945
21750000 -1348582.4013
21800000 -1348191.1572
21850000 -1347727.3675
21900000 -1347093.8116
21950000 -1347543.8184
22000000 -1348268.7290
22050000 -1348363.1844
22100000 -1348066.5341
22150000 -1346805.2317
22200000 -1348297.5063
22250000 -1347762.2270
22300000 -1347610.6428
22350000 -1348270.8917
22400000 -1346780.9359
22450000 -1346916.4412
22500000 -1347751.8563
22550000 -1347501.4654
22600000 -1347786.5219
22650000 -1347374.9059
22700000 -1347513.1801
22750000 -1347814.4099
22800000 -1347488.2983
22850000 -1347109.9159
22900000 -1347490.0280
22950000 -1346715.3208
23000000 -1347935.1470
23050000 -1345799.2567
23100000 -1347421.5583
23150000 -1347695.6210
23200000 -1347822.7520
23250000 -1347253.5309
23300000 -1347330.5179
23350000 -1346920.1260
23400000 -1348710.3017
23450000 -1347495.0956
23500000 -1347661.5290
23550000 -1348658.0854
23600000 -1347475.5558
23650000 -1348020.2654
23700000 -1346375.9858
23750000 -1349809.0358
23800000 -1347396.4395
23850000 -1347052.0729
23900000 -1347335.4332
23950000 -1347087.7665
24000000 -1346632.1775
24050000 -1346728.7274
24100000 -1346923.0018
24150000 -1347362.1934
24200000 -1347760.0172
24250000 -1348263.3976
24300000 -1347603.8315
24350000 -1348184.3502
24400000 -1346673.4506
24450000 -1347373.8506
24500000 -1347719.2814
24550000 -1347892.3651
24600000 -1346544.9872
24650000 -1347465.4603
24700000 -1348656.3257
24750000 -1347233.6090
24800000 -1349303.1242
24850000 -1348066.2640
24900000 -1347582.8929
24950000 -1348175.0025
25000000 -1345940.7337
25050000 -1347322.3879
25100000 -1346786.8996
25150000 -1347833.9010
25200000 -1347175.1531
25250000 -1347187.3882
25300000 -1346749.0031
25350000 -1347669.3007
25400000 -1346189.9498
25450000 -1349075.9222
25500000 -1348447.5881
25550000 -1348426.0047
25600000 -1345859.2754
25650000 -1345853.8065
25700000 -1347233.2390
25750000 -1347655.3183
25800000 -1347735.7951
25850000 -1348650.4452
25900000 -1347078.2674
25950000 -1348198.0785
26000000 -1347400.2019
26050000 -1348503.0993
26100000 -1349151.0309
26150000 -1348078.8390
26200000 -1348386.7286
26250000 -1348614.7843
26300000 -1346800.7899
26350000 -1348261.1589
26400000 -1347066.4867
26450000 -1349040.8863
26500000 -1347154.2715
26550000 -1347780.3260
26600000 -1347583.5362
26650000 -1346721.0176
26700000 -1347935.7542
26750000 -1347489.2805
26800000 -1347238.6482
26850000 -1346846.1803
26900000 -1347133.1863
26950000 -1348107.0781
27000000 -1345994.8844
27050000 -1347600.6649
