TS	2_bonds	no_bonds	303_350
18700000	81348.8198	71796.2012	82514.6155
18750000	82213.8677	71651.9864	81783.1777
18800000	81319.6186	72588.0798	81877.0631
18850000	82156.8643	71540.4611	80959.1799
18900000	82089.1336	71714.8158	81903.1200
18950000	82412.1131	71668.2613	81742.3064
19000000	81591.7559	71847.5487	82028.9814
19050000	80754.5881	71248.5606	82070.7693
19100000	81881.4651	71574.2028	81862.1291
19150000	82286.9394	71871.3687	81263.4769
19200000	82145.1910	71494.9297	82143.9866
19250000	81892.5987	71696.0852	82349.3818
19300000	81057.9533	71722.5693	81165.6612
19350000	81686.6151	72037.3113	82399.6433
19400000	82410.8954	71804.6513	81208.7156
19450000	82568.8015	71826.4694	81902.9657
19500000	82371.5961	71027.8200	81043.2923
19550000	82991.4808	71886.2982	82672.2275
19600000	81270.0800	72083.5336	82285.1898
19650000	82203.2780	71428.0767	81564.1536
19700000	82931.4528	71759.6802	81535.7366
19750000	82245.6878	71272.8595	81607.1548
19800000	81776.5035	72053.4953	81917.5226
19850000	81921.7693	71013.9390	81827.8203
19900000	81975.8193	71913.7103	81073.1154
19950000	81816.6033	71782.2893	82345.9306
20000000	81972.9193	71251.5829	81392.8119
20050000	83028.9694	72299.7974	81668.3080
20100000	82581.4676	70912.7926	82327.3208
20150000	81855.2213	71786.9957	81817.6757
20200000	81865.2476	71911.7057	81892.5369
20250000	82322.5044	71735.4936	81197.7855
20300000	81967.3312	72275.5037	82727.8707
20350000	82399.0929	71090.2219	80451.1079
20400000	80952.2228	71634.5891	81764.9092
20450000	82390.2808	72415.7387	82624.8482
20500000	82162.1354	71725.5962	82340.5594
20550000	81669.0091	71503.9353	81846.5211
20600000	81204.7248	70620.4165	80882.1502
20650000	81976.1165	71316.3744	81899.8217
20700000	82097.4727	70743.7375	81603.4033
20750000	81784.5611	71881.2793	82455.4476
20800000	82042.8632	71676.4715	82233.1303
20850000	80820.0304	72446.0081	81648.8135
20900000	81705.4011	71471.3002	81890.3503
20950000	81986.9929	72488.8275	82268.9153
21000000	81785.6245	72071.6025	81085.1812
21050000	82329.2979	71915.7718	81969.2682
21100000	81169.2032	72163.5943	82671.7732
21150000	80951.8411	72094.3918	82282.8776
21200000	83106.0971	71850.3954	82138.5671
21250000	82163.4335	71521.3562	81329.4956
21300000	81425.3114	72027.4877	82390.2693
21350000	82674.2011	71119.9016	82231.5120
21400000	82114.8347	72495.3693	81295.8192
21450000	82490.1515	71938.7543	82023.5794
21500000	82138.7368	71985.4323	81252.4459
21550000	82441.5783	72329.6231	81150.7684
21600000	82200.1452	71457.2608	80861.3254
21650000	82395.5683	71380.6568	81621.7961
21700000	81893.7517	71362.5517	82250.5298
21750000	82103.2570	71746.7077	81506.8153
21800000	82365.1630	71196.8563	81964.1107
21850000	82356.8663	71281.8550	81341.4961
21900000	81886.3004	72081.5288	82371.5875
21950000	81978.7184	71742.3404	81832.3841
22000000	82256.4625	71728.0876	82462.7030
22050000	82664.4345	71156.0617	81518.8194
22100000	81952.7353	71587.2374	81681.7039
22150000	81375.1124	71204.8862	81953.0336
22200000	82248.4963	71598.9057	81041.9036
22250000	82330.1500	71406.1400	82075.1004
22300000	82600.2570	71450.8359	81671.8573
22350000	82692.9541	71547.4235	81685.4060
22400000	82004.3555	71547.0338	82334.5159
22450000	81539.6770	71593.9251	81812.1349
22500000	82135.1299	70799.5401	81299.1796
22550000	82534.8502	71378.3667	81780.5030
22600000	81987.9818	71519.2462	81319.5111
22650000	81550.1440	71087.9619	82101.7594
22700000	81946.5504	71562.0427	81620.3335
22750000	81669.6252	71364.8543	82094.4256
22800000	82199.1212	71166.0823	83331.0298
22850000	81899.2033	72136.1230	81991.3369
22900000	82403.2982	71907.4484	82716.8899
22950000	81275.3289	71323.0184	81490.6446
23000000	82319.3308	72457.5341	82417.1731
23050000	82077.0612	71403.8155	81951.4687
23100000	82040.7320	71022.2438	81201.6799
23150000	81484.3140	72257.4522	80930.2435
23200000	82764.2123	72323.6267	82267.5290
23250000	81412.6444	72042.8272	81901.4387
23300000	81498.9240	70894.6471	82642.5138
23350000	81565.6550	72068.0462	81953.0526
23400000	83353.2598	71061.7963	80825.7459
23450000	82415.3592	72514.3167	82224.9231
23500000	82493.5002	71381.9064	82202.4986
23550000	82808.6071	72357.1319	81199.3114
23600000	82032.2943	71649.7821	82160.9070
23650000	81992.7195	71065.9239	82518.8829
23700000	81650.0648	71134.4108	81785.4439
23750000	83112.0857	71872.5400	81484.7597
23800000	82247.5629	70568.7736	82959.6068
23850000	82243.1983	72579.6662	82362.2749
23900000	81802.9898	71879.8992	80835.7073
23950000	81753.2962	71997.9929	82191.0922
24000000	81867.9546	72287.3120	81967.6276
24050000	81561.7789	71838.9608	82565.0018
24100000	81526.3517	71625.3335	82564.3827
24150000	81856.3372	71632.3223	81999.6998
24200000	82618.2856	72506.9826	81666.8180
24250000	82758.6016	71809.8455	82240.4851
24300000	81825.2564	71564.3178	82388.8810
24350000	83068.0342	71127.6969	81679.9600
24400000	81159.5843	72410.1099	82362.4328
24450000	81683.0989	70968.9839	81997.3579
24500000	81479.2776	71945.0539	82491.2337
24550000	81670.1135	72057.9544	81946.2359
24600000	81493.4259	71583.8970	81839.4593
24650000	81930.3749	71527.2971	81973.2707
24700000	81983.0414	72041.5748	81621.1189
24750000	81268.3711	71312.7934	80970.1067
24800000	82940.9774	72326.1129	81827.0926
24850000	82088.5946	71906.7319	82177.2585
24900000	81898.1715	72221.0167	81619.6440
24950000	82632.3655	71855.0643	81411.9725
25000000	81199.9588	72141.5049	81556.8512
25050000	81845.6180	71142.5292	81462.9268
25100000	81548.8666	71307.8162	83220.2802
25150000	82215.2854	71979.7867	82283.5257
25200000	81989.8525	71989.2634	81036.9986
25250000	82447.8147	72139.0068	81060.7697
25300000	82135.9424	70422.4373	81681.5152
25350000	81912.7568	71494.8825	81405.0562
25400000	80712.6849	71884.2680	81754.3214
25450000	82918.1433	71264.8210	81516.0317
25500000	82592.5916	71534.1079	82640.3688
25550000	82253.6650	71034.1854	82459.9599
25600000	80994.1038	71441.6398	81945.3339
25650000	81444.8123	70623.6434	82142.4422
25700000	81446.8448	71241.4920	81436.1694
25750000	81614.6340	72934.6697	82317.3893
25800000	82434.7443	71595.3269	82006.9039
25850000	83109.9103	71278.0557	82091.7545
25900000	81795.1687	71436.2096	82007.2376
25950000	81899.6145	71844.2414	82608.9256
26000000	82030.8199	70905.8412	82012.5675
26050000	82485.8558	71151.1915	80992.2819
26100000	82486.4107	72027.7559	81094.3231
26150000	82212.9605	71226.6340	82340.5168
26200000	82605.1348	72003.8465	81724.0112
26250000	82779.2120	71223.6472	82708.0007
26300000	81990.2108	71234.5490	80803.1038
26350000	82067.9391	71936.0685	81391.9922
26400000	81783.6681	70829.5193	82390.7646
26450000	83066.0905	71742.3438	81200.6798
26500000	81950.9226	71258.8683	81341.2831
26550000	82188.1233	71869.1616	82283.0656
26600000	82375.7632	71433.0807	81730.6697
26650000	82065.0221	71241.6856	81487.2887
26700000	82324.9354	71738.8869	81015.8781
26750000	82323.5871	71299.1221	82001.9295
26800000	82071.1908	71699.0193	81638.8643
26850000	81827.8856	70953.1674	81281.8783
26900000	81620.8784	72540.7744	82483.8649
26950000	82329.2219	71503.9325	81549.9426
27000000	81654.6629	72521.1881	81675.4442
27050000	81621.9524	70896.8736	81584.4112
27100000	82540.4211	71988.1153	82035.6127
27150000	82088.8011	72291.0176	81855.5288
27200000	82595.7693	71879.4987	81716.6511
27250000	83002.9614	71683.0949	82220.5084
27300000	82034.0455	71947.5436	81386.6447
27350000	81403.1459	70572.8972	81211.5770
27400000	81813.8862	70860.3837	82427.2945
27450000	82178.6326	72382.5789	82512.0396
27500000	81342.6468	71149.4321	81430.2379
27550000	82571.0895	71615.0543	82281.6202
27600000	82012.3188	71907.7240	81142.3391
27650000	82076.1307	72252.0729	81662.4552
27700000	81669.3012	71650.5949	80396.3259
27750000	82013.0955	71293.4650	81861.1891
27800000	82043.1609	71401.1796	82307.3399
27850000	81656.3885	71270.8349	81272.2553
27900000	82338.9151	71738.1480	81595.9527
27950000	82434.3969	72291.4352	81241.4911
28000000	82524.2390	72771.6034	81881.1524
28050000	81792.0001	71284.7425	82419.3719
28100000	82402.8739	72519.2441	81869.0350
28150000	82090.2882	72091.9992	83105.2953
28200000	82480.2222	70725.9138	81707.5859
28250000	83220.1776	71142.0237	82500.9010
28300000	82664.7998	72244.4359	82136.3633
28350000	82787.6299	70999.6896	81626.1791
28400000	81503.3278	71962.1711	82270.8170
28450000	82227.4152	71598.4475	82068.1605
28500000	81879.4302	71714.3354	81939.3239
28550000	82178.7170	71708.8012	81671.3547
28600000	82214.9842	72131.8135	82014.7703
28650000	83019.5939	71364.2987	82551.2865
28700000	81850.3170	71790.7900	81966.5257
28750000	81994.2829	70977.8367	81441.0228
28800000	81595.5416	71631.8705	81395.7627
28850000	81370.7642	71313.3678	81433.3395
28900000	82742.8573	72135.4061	81861.7217
28950000	82293.6161	73083.8772	81919.7830
29000000	82454.9247	71200.6851	82134.6110
29050000	82465.6955	70907.3390	81325.4343
29100000	82137.1319	72580.0481	82230.3896
29150000	82238.2571	71732.8625	82233.8109
29200000	82465.3589	70888.8775	80780.6569
29250000	81810.1155	71285.0571	81928.1480
29300000	82221.2065	70766.0923	82278.0446
29350000	81090.3786	72020.8124	82900.4609
29400000	82801.5225	71258.6105	81192.1660
29450000	81870.5661	71337.3588	81908.1277
29500000	82558.1756	70772.1780	82205.6825
29550000	81286.0270	71713.0286	82323.7265
29600000	82454.3788	71639.4804	81734.6091
29650000	82101.4440	71910.4321	81257.6255
29700000	81312.3842	71824.4305	81814.0695
29750000	81555.7751	71623.0096	82517.1615
29800000	82798.3516	71077.6026	82172.9091
29850000	81326.5433	71891.0123	82243.0597
29900000	82934.4275	71577.5418	80503.1769
29950000	82149.7365	71266.2552	81581.2900
30000000	82713.8125	70974.6707	80913.7865
30050000	82302.8553	71818.2584	82180.5243
30100000	82511.2860	72187.4642	82286.8664
30150000	81631.4698	71591.2653	81734.3359
30200000	82293.1752	71768.5626	81407.8442
30250000	81859.3725	71446.2198	80969.6978
30300000	82187.2582	71862.6900	82639.6973
30350000	81120.5379	71033.9794	81807.6495
30400000	81512.5074	71750.4663	81353.7280
30450000	81817.7570	70924.9081	81427.4705
30500000	82075.0777	70986.1220	82033.5982
30550000	82312.1549	72054.0487	81407.4155
30600000	82472.1590	71813.1617	82306.1824
30650000	81658.8188	71638.6790	82223.0791
30700000	81829.1201	71919.9870	81938.8084
30750000	82347.4530	71566.5250	81220.8460
30800000	81505.2734	71595.9961	81289.8574
30850000	81792.8832	70734.7424	82786.9912
30900000	81753.0691	71967.7147	81686.0508
30950000	82413.8966	71200.5229	82946.4024
31000000	82155.7606	70819.7940	81609.0536
31050000	82456.0347	71717.4554	82056.3608
31100000	82413.7440	71707.0799	81254.1485
31150000	82111.5028	71000.1594	82207.1232
31200000	81519.8543	71085.8439	82147.9224
31250000	81802.8699	72058.9908	81635.1821
