TS EVdW(kcal/mol)
26200000 81724.0112
26250000 82708.0007
26300000 80803.1038
26350000 81391.9922
26400000 82390.7646
26450000 81200.6798
26500000 81341.2831
26550000 82283.0656
26600000 81730.6697
26650000 81487.2887
26700000 81015.8781
26750000 82001.9295
26800000 81638.8643
26850000 81281.8783
26900000 82483.8649
26950000 81549.9426
27000000 81675.4442
27050000 81584.4112
27100000 82035.6127
27150000 81855.5288
27200000 81716.6511
27250000 82220.5084
27300000 81386.6447
27350000 81211.5770
27400000 82427.2945
27450000 82512.0396
27500000 81430.2379
27550000 82281.6202
27600000 81142.3391
27650000 81662.4552
27700000 80396.3259
27750000 81861.1891
27800000 82307.3399
27850000 81272.2553
27900000 81595.9527
27950000 81241.4911
28000000 81881.1524
28050000 82419.3719
28100000 81869.0350
28150000 83105.2953
28200000 81707.5859
28250000 82500.9010
28300000 82136.3633
28350000 81626.1791
28400000 82270.8170
28450000 82068.1605
28500000 81939.3239
28550000 81671.3547
28600000 82014.7703
28650000 82551.2865
28700000 81966.5257
28750000 81441.0228
28800000 81395.7627
28850000 81433.3395
28900000 81861.7217
28950000 81919.7830
29000000 82134.6110
29050000 81325.4343
29100000 82230.3896
29150000 82233.8109
29200000 80780.6569
29250000 81928.1480
29300000 82278.0446
29350000 82900.4609
29400000 81192.1660
29450000 81908.1277
29500000 82205.6825
29550000 82323.7265
29600000 81734.6091
29650000 81257.6255
29700000 81814.0695
29750000 82517.1615
29800000 82172.9091
29850000 82243.0597
29900000 80503.1769
29950000 81581.2900
30000000 80913.7865
30050000 82180.5243
30100000 82286.8664
30150000 81734.3359
30200000 81407.8442
30250000 80969.6978
30300000 82639.6973
30350000 81807.6495
30400000 81353.7280
30450000 81427.4705
30500000 82033.5982
30550000 81407.4155
30600000 82306.1824
30650000 82223.0791
30700000 81938.8084
30750000 81220.8460
30800000 81289.8574
30850000 82786.9912
30900000 81686.0508
30950000 82946.4024
31000000 81609.0536
31050000 82056.3608
31100000 81254.1485
31150000 82207.1232
31200000 82147.9224
31250000 81635.1821
31300000 82421.1987
31350000 81606.5295
31400000 82222.1597
31450000 81651.5097
31500000 82011.2742
31550000 81806.5946
31600000 82116.4318
31650000 82244.2518
31700000 80799.9242
31750000 82270.8121
31800000 81908.0415
31850000 81595.4025
31900000 82183.3677
31950000 81382.5154
32000000 81938.6520
32050000 82109.3434
32100000 81243.8241
32150000 81243.0830
32200000 81384.2960
32250000 81532.3699
32300000 82409.9076
32350000 81270.3214
32400000 81888.1562
32450000 82570.1656
32500000 80925.8841
32550000 81698.8557
32600000 81162.4703
32650000 82793.2861
32700000 81962.0391
32750000 81437.0214
32800000 81523.5101
32850000 81638.1586
32900000 81118.8987
32950000 82280.2640
33000000 81449.9025
33050000 82416.4611
33100000 82703.1836
33150000 81897.6313
33200000 81728.7606
33250000 81719.5740
33300000 81029.4639
33350000 81749.8014
33400000 81859.4952
33450000 81391.1693
33500000 80848.0620
33550000 81328.1614
33600000 81881.7432
33650000 82006.3987
33700000 81266.5453
33750000 82162.4226
33800000 82120.5831
33850000 81432.5774
33900000 82915.7563
33950000 81511.3907
34000000 81201.2016
34050000 81838.8480
34100000 82068.7558
34150000 82232.0369
34200000 82221.4834
34250000 81738.7312
34300000 81955.0184
34350000 81233.5369
34400000 81758.3110
34450000 81764.1099
34500000 81761.1808
34550000 81323.6458
34600000 82293.2082
34650000 81808.1958
34700000 81656.8907
34750000 82232.5923
34800000 81274.4041
34850000 81666.8528
34900000 81645.7086
34950000 82935.9768
35000000 81400.2679
35050000 81800.4766
35100000 81428.1313
35150000 81265.9075
35200000 81880.7141
35250000 82071.8492
35300000 82253.2945
35350000 81526.0484
35400000 81068.3410
35450000 80947.5471
35500000 82082.7472
35550000 81549.6892
35600000 81795.0374
35650000 82156.7710
35700000 82093.6191
35750000 81153.6221
35800000 81180.4761
35850000 80784.9426
35900000 81404.6416
35950000 82196.1782
36000000 81986.9907
36050000 81249.3749
36100000 82479.1498
36150000 80700.4936
36200000 82879.4093
36250000 82518.0637
36300000 81449.6315
36350000 82401.0213
36400000 82081.6262
36450000 80805.8657
36500000 82656.1400
36550000 82245.6232
36600000 81078.0408
36650000 82364.1830
36700000 80615.6415
36750000 83122.4005
36800000 81199.4951
36850000 81927.6069
36900000 81288.9756
36950000 81544.9578
37000000 81941.2064
37050000 82274.2716
37100000 82465.7926
37150000 81657.4671
37200000 81922.2163
37250000 82806.5987
37300000 81573.1055
37350000 81511.3533
37400000 82110.7667
37450000 81887.4287
37500000 82119.2034
37550000 82575.5029
37600000 81157.6650
37650000 82556.2903
37700000 81964.6840
37750000 81469.8094
37800000 82002.2459
37850000 82001.8217
37900000 81238.2120
37950000 81697.6359
38000000 81457.4035
38050000 81741.8411
38100000 82379.4870
38150000 81982.8119
38200000 81989.6733
38250000 81602.9762
38300000 81505.9319
38350000 81233.9816
38400000 82320.4927
38450000 81484.5572
38500000 81902.3249
38550000 82421.6128
38600000 81940.0755
38650000 82586.2178
38700000 81616.5316
38750000 82149.9235
38800000 81654.8381
38850000 82314.4352
38900000 82660.4024
38950000 81541.2902
39000000 81053.1499
39050000 80628.4677
39100000 81444.2752
39150000 82204.1451
39200000 81300.7043
39250000 81710.1791
39300000 82334.3137
39350000 81876.1664
39400000 82308.8806
39450000 81158.3161
39500000 82015.9099
39550000 81594.8842
39600000 81172.0658
39650000 82042.2592
39700000 81370.1242
39750000 81353.4529
39800000 81718.8408
39850000 82726.7481
39900000 81974.5563
39950000 82196.4475
40000000 82342.8273
40050000 81834.6937
40100000 83116.7428
40150000 82953.4367
40200000 82336.2794
40250000 82007.5802
40300000 81360.1389
40350000 81082.7635
40400000 81714.1040
40450000 82264.9002
40500000 82159.4141
40550000 82284.4887
40600000 82400.6490
40650000 81734.5442
40700000 81773.9192
40750000 81737.1019
40800000 82307.4551
40850000 82164.6596
40900000 81652.6419
40950000 81907.1619
41000000 81385.1831
41050000 81653.0356
41100000 81948.7902
41150000 81876.1981
41200000 82132.4181
41250000 81450.3425
41300000 81575.6974
41350000 81622.3929
41400000 81416.9766
41450000 82162.7370
41500000 82415.1354
41550000 81787.7398
41600000 81787.7555
41650000 81749.1038
41700000 83465.1443
41750000 82504.9003
41800000 81899.9760
41850000 81199.4307
41900000 81023.1974
41950000 81467.2629
42000000 81901.8070
42050000 81866.1121
42100000 81541.5780
42150000 81973.0153
42200000 82178.5246
42250000 82144.9711
42300000 81926.6648
42350000 81369.2573
42400000 82426.1968
42450000 81985.0393
42500000 80957.4715
42550000 81640.2346
42600000 81902.8705
42650000 81894.6122
42700000 81788.7578
42750000 82007.6912
42800000 81848.2168
42850000 81522.2014
42900000 82428.8910
42950000 81544.0354
43000000 81875.2643
43050000 81787.6719
43100000 81818.9578
43150000 81368.6574
43200000 80581.8624
43250000 82910.4745
43300000 81349.0167
43350000 82696.9911
43400000 81260.5232
43450000 80658.9857
43500000 81132.9187
43550000 81549.4734
43600000 81585.7622
43650000 81436.9885
43700000 81225.9610
43750000 82407.1613
43800000 82081.1160
43850000 82186.0170
43900000 81769.1132
43950000 81285.8527
44000000 82232.2147
44050000 81818.6623
44100000 82480.0197
44150000 81593.1028
44200000 81267.6126
44250000 81086.2938
44300000 82831.3489
44350000 82226.4735
44400000 82374.5284
44450000 81487.9852
44500000 81097.9769
44550000 81833.9832
