TS EVdW(kcal/mol)
38500000 72917.9133
38550000 71346.7318
38600000 71591.6922
38650000 72293.3129
38700000 72063.7758
38750000 71945.4739
38800000 71242.9740
38850000 71503.4757
38900000 71465.1389
38950000 71644.0371
39000000 72468.8526
39050000 71619.8154
39100000 71354.8909
39150000 71073.7736
39200000 71189.6303
39250000 72674.4420
39300000 71923.5589
39350000 70438.3546
39400000 72032.4896
39450000 70952.0987
39500000 71737.9504
39550000 71798.3653
39600000 70700.1444
39650000 71907.5126
39700000 71361.0125
39750000 72469.3742
39800000 71455.2043
39850000 71492.3822
39900000 71496.9414
39950000 71123.9618
40000000 71309.8355
40050000 71091.7593
40100000 72160.8117
40150000 71977.3218
40200000 72509.2472
40250000 71434.7116
40300000 70645.9272
40350000 70659.9867
40400000 72801.3643
40450000 71638.7020
40500000 71930.8757
40550000 71656.4739
40600000 71348.5511
40650000 70488.7732
40700000 71951.3908
40750000 71248.9772
40800000 71533.4925
40850000 71873.4669
40900000 71648.3736
40950000 71887.1612
41000000 71347.2120
41050000 70776.1226
41100000 70599.3384
41150000 72146.5274
41200000 71350.2397
41250000 71518.2632
41300000 71489.7654
41350000 71110.3461
41400000 71900.1202
41450000 71425.9484
41500000 72119.6500
41550000 71507.2227
41600000 71637.6527
41650000 71924.3685
41700000 71962.7974
41750000 72155.7676
41800000 72118.0326
41850000 71904.8757
41900000 71057.5323
41950000 71892.1326
42000000 71487.1670
42050000 71546.4895
42100000 71787.4727
42150000 72412.1096
42200000 72151.6435
42250000 71463.5798
42300000 70875.7652
42350000 72008.0172
42400000 71563.6625
42450000 71997.3464
42500000 70968.8327
42550000 71783.5712
42600000 71967.8303
42650000 71971.8365
42700000 71897.9799
42750000 72167.7590
42800000 71697.1982
42850000 71064.5866
42900000 72511.9868
42950000 70596.1212
43000000 71092.2216
43050000 71894.2889
43100000 71576.9551
43150000 71555.5400
43200000 72307.1343
43250000 71467.7026
43300000 71607.4947
43350000 71777.6211
43400000 71020.7280
43450000 71240.7274
43500000 71308.9403
43550000 71530.7507
43600000 72541.6521
43650000 71340.1979
43700000 71546.2354
43750000 71379.4685
43800000 71140.8692
43850000 72323.5382
43900000 71127.0512
43950000 71108.4695
44000000 71986.7768
44050000 70674.5312
44100000 71202.6525
44150000 72182.5121
44200000 70917.5611
44250000 71672.6629
44300000 71582.5609
44350000 71953.3679
44400000 71658.5328
44450000 71362.4507
44500000 71097.1683
44550000 71154.9478
44600000 71030.1371
44650000 72468.0045
44700000 71614.3946
44750000 72137.6436
44800000 71417.2126
44850000 71973.1387
44900000 71793.8456
44950000 71525.4710
45000000 71768.6347
45050000 71535.3742
45100000 71212.4230
45150000 72158.6680
45200000 71970.5927
45250000 72550.4873
45300000 71627.7536
45350000 71784.2418
45400000 72311.2653
45450000 71406.6784
45500000 71023.5836
45550000 72125.2772
45600000 71266.2693
45650000 71975.9501
45700000 71619.6039
45750000 71810.5229
45800000 71584.3715
45850000 71422.5742
45900000 71506.5999
45950000 71625.9787
46000000 71120.3227
46050000 71399.3693
46100000 70967.4282
46150000 71524.2342
46200000 71550.4901
46250000 72082.0869
46300000 71932.9177
46350000 71646.5051
46400000 71670.8085
46450000 72351.1975
46500000 70878.3420
46550000 72105.8587
46600000 71484.8666
46650000 72325.1358
46700000 71324.3667
46750000 72402.7009
46800000 71254.8233
46850000 71692.8413
46900000 70942.9051
46950000 71367.0420
47000000 71273.6867
47050000 71889.8929
47100000 72984.9444
47150000 71601.4166
47200000 72114.4686
47250000 71229.9326
47300000 71512.7884
47350000 72068.7438
47400000 71862.3944
47450000 72009.9506
47500000 71494.0039
47550000 71763.1937
47600000 72398.2825
47650000 71429.6621
47700000 71364.0989
47750000 71407.4638
47800000 70663.9203
47850000 71477.8667
47900000 71780.2046
47950000 72060.7399
48000000 71587.4861
48050000 71201.0980
48100000 71799.7157
48150000 72061.9333
48200000 71471.9073
48250000 71931.1801
48300000 71486.8283
48350000 71374.9285
48400000 72187.2292
48450000 72110.9602
48500000 72015.1206
48550000 71465.9982
48600000 71270.8877
48650000 71450.4794
48700000 72556.2829
48750000 71906.6423
48800000 71344.0889
48850000 72489.7183
48900000 71548.0105
48950000 72582.0733
49000000 71380.9828
49050000 71269.6561
49100000 72347.9329
49150000 71350.6642
49200000 71357.5370
49250000 71556.2550
49300000 70803.0718
49350000 72287.5385
49400000 71485.6074
