TS	2_bonds	no_bonds	303_350
9350000	-1347557.0751	-1237523.0955	-1344997.2183
9400000	-1346936.3375	-1237220.2369	-1342859.0798
9450000	-1348221.7095	-1237281.0950	-1344491.7428
9500000	-1347447.7606	-1235725.3317	-1344765.5833
9550000	-1346694.3090	-1237062.3274	-1344868.2411
9600000	-1347659.9315	-1236408.1165	-1344518.7022
9650000	-1349011.7010	-1237102.3366	-1344274.9294
9700000	-1348820.7385	-1237946.0327	-1344397.6146
9750000	-1347501.7577	-1236350.6301	-1344881.7018
9800000	-1347361.4307	-1235882.2504	-1345110.2829
9850000	-1346331.0431	-1236633.2551	-1344275.4119
9900000	-1346673.1719	-1236031.4978	-1344820.7090
9950000	-1346704.9791	-1236902.0700	-1343887.2713
10000000	-1346680.1443	-1235703.3654	-1344910.5852
10050000	-1348581.2987	-1236324.2276	-1343430.1480
10100000	-1347353.3646	-1236774.3518	-1344507.8241
10150000	-1346921.3899	-1236257.2123	-1343867.7520
10200000	-1347935.9135	-1235889.8367	-1344757.0555
10250000	-1347451.4787	-1236944.2574	-1344030.4142
10300000	-1346805.4937	-1237053.1116	-1343915.8432
10350000	-1345714.1854	-1236697.4252	-1343401.6422
10400000	-1347292.7833	-1235630.5489	-1343935.4095
10450000	-1347274.4896	-1237326.2411	-1342407.6746
10500000	-1347412.5535	-1236619.9546	-1344586.5985
10550000	-1349329.9640	-1237163.1925	-1345388.6884
10600000	-1347927.4667	-1237531.1078	-1344573.9351
10650000	-1346396.4853	-1237099.8921	-1344261.5830
10700000	-1347896.2293	-1234985.0263	-1344691.5104
10750000	-1347047.7866	-1236665.9283	-1345816.4755
10800000	-1347574.1420	-1236227.5814	-1343535.5399
10850000	-1346763.6253	-1237305.8482	-1345062.8665
10900000	-1348521.4439	-1238595.2233	-1343991.1183
10950000	-1347194.6564	-1237619.0683	-1345173.8493
11000000	-1347790.0369	-1236093.7175	-1345585.6617
11050000	-1347087.5516	-1237157.3900	-1345347.1072
11100000	-1347306.0718	-1236685.4840	-1343347.5059
11150000	-1346716.3801	-1237424.0164	-1343204.1659
11200000	-1347379.1077	-1235655.4718	-1343859.5258
11250000	-1347071.1060	-1236798.2999	-1342521.9276
11300000	-1347688.8804	-1236523.0830	-1344684.4525
11350000	-1347091.5702	-1237206.8444	-1344317.6883
11400000	-1346325.8761	-1236526.9057	-1344819.3670
11450000	-1346426.8092	-1237033.7342	-1344749.5710
11500000	-1347395.7096	-1235355.9223	-1343490.0187
11550000	-1346354.9347	-1236461.7110	-1343572.0638
11600000	-1347740.6857	-1237835.3558	-1344947.7587
11650000	-1347364.9163	-1237222.8050	-1343916.2559
11700000	-1348200.9308	-1236480.6958	-1343903.5688
11750000	-1347159.7126	-1237414.5227	-1345406.8757
11800000	-1347229.5849	-1236492.4220	-1344875.7083
11850000	-1346648.0835	-1237494.1409	-1344230.6218
11900000	-1348114.7843	-1236821.9996	-1344904.3714
11950000	-1346600.6030	-1236654.2568	-1344086.1697
12000000	-1347974.7714	-1236272.6732	-1343560.9275
12050000	-1346619.0345	-1236358.5853	-1344550.6435
12100000	-1347751.3682	-1235580.3563	-1345411.6886
